Date - Order Date,Order - Number,Item - SKU,Item - Qty,Item - Name,Amount - Order Total,Amount - Order Tax,Carrier - Service Requested,Date - Ship By Date,
03-08-2026 10:46,114-4575482-8520209,STB - 271025 - B07ZDBD73D - UKUS - 3,1,Full Box of MCVITIE'S JAFFA CAKES Triple Pack 6 CARTONS (3 X 10 Cake) 180 Cakes,60.59,0,FreeEconomy Econ US Dom,03-11-2026 17:00,60.59
03-08-2026 11:12,111-8806643-5043426,STB - 091225 - B01G2AIQZW - UKUS - X,2,Jacobs Cream Crackers Snackpack - 192g,36.34,0,FreeEconomy Econ US Dom,03-11-2026 17:00,36.34
03-08-2026 11:31,112-7690792-0750658,STB - 040126 - B00L3UWIRO - UKUS - X,2,Decksaver DS-PC-CDJ900NXS Protective Cover for Pioneer CDJ-900 Nexus,251.96,20,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,231.96
03-08-2026 10:37,114-0181486-5153044,STB - 100226 - B0B9YSNZ57 - UKUS - 5,1,"Cadbury White Chocolate Creme Egg (Pack of 48). Easter, Egg Hunt, Thank you Gift, Present, White Chocolate Filled Eggs",108.73,8.75,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,99.98
03-08-2026 11:58,114-8708059-2583451,STB - 041125 - B00RBQWLH6 - UK-US - 3,1,Schär Digestive 150 g,18.31,0,FreeEconomy Econ US Dom,03-11-2026 17:00,18.31
03-08-2026 11:50,111-9757917-3410626,STB - 131125 - B00455YP48 - UKUS - 3,1,Wilkinson Sword - Xtreme 3 for Men | Sensitive | Pack of 8 Disposable Razors,23.53,1.89,FreeEconomy Econ US Dom,03-11-2026 17:00,21.64
03-08-2026 10:46,111-2789037-6229030,STB - 041125 - B06XRNCKZV - UK-US - 3,1,Snack a Jacks Salt & Vinegar Rice Cakes 4 x 22g,21.3,0,FreeEconomy Econ US Dom,03-11-2026 17:00,21.3
03-08-2026 10:38,112-1244072-3389013,STB - 271025 - B07XF157JL - UKUS - 3,1,Decaf 70 Ct Tea Bags - 2 Pack(Two Pack),25.56,0,FreeEconomy Econ US Dom,03-11-2026 17:00,25.56
03-08-2026 13:07,200014466360376,WTB - 000000 - 00000050126019 - UKUS - 1,1,"Hartley's Sugar Free Jelly - Raspberry 115g, Imported from Britain",22.82,0.66,Value,03-11-2026 20:00,22.16
03-08-2026 13:03,200014536725575,WTB - 000000 - 08410076482785 - UKUS - 1,2,"Old El Paso Original Cheesy Baked Nacho Kit 505G, Imported from Britain",58.35,0.57,Value,03-09-2026 20:00,57.78
03-08-2026 12:31,200014684471749,WTB TEST - 00617588695735 - UKUS,1,Cereal Weetabix Family 24 - British Version Imported by Sentogo,27.8,0.81,Value,03-11-2026 20:00,26.99
